Domain,WHOIS Info,Web Content
http://zen-rosalind-ccfd2a.netlify.app,"{
  ""domain_name"": null,
  ""registrar"": null,
  ""whois_server"": null,
  ""updated_date"": null,
  ""creation_date"": null,
  ""expiration_date"": null,
  ""name_servers"": null,
  ""status"": null,
  ""emails"": null,
  ""registrant_email"": null,
  ""registrant_phone"": null,
  ""dnssec"": null,
  ""name"": null,
  ""org"": null,
  ""address"": null,
  ""city"": null,
  ""state"": null,
  ""registrant_postal_code"": null,
  ""country"": null
}",Failed to retrieve
http://zeutmodern.xyz/2e7922c533bacae/region.php?particulier,"{
  ""domain_name"": null,
  ""registrar"": null,
  ""whois_server"": null,
  ""referral_url"": null,
  ""updated_date"": null,
  ""creation_date"": null,
  ""expiration_date"": null,
  ""name_servers"": null,
  ""status"": null,
  ""emails"": null,
  ""dnssec"": null,
  ""name"": null,
  ""org"": null,
  ""address"": null,
  ""city"": null,
  ""state"": null,
  ""registrant_postal_code"": null,
  ""country"": null
}",Failed to retrieve
